channel,sensor,slope,intercept
11.0,9.0,0.0019910029744923115,-0.8125744728447448
12.0,0.0,0.001189756198111848,2.899837751529887
12.0,1.0,0.0013833218391513333,0.5837333182571869
12.0,2.0,0.00021991228212846632,-1.070725503991686
12.0,3.0,-0.0008059153856793364,-1.9010773022501821
12.0,4.0,-0.0002549763734995654,-1.9891271761973672
12.0,5.0,0.0001392737993463308,-1.632732129350444
12.0,6.0,-0.0008846080247152439,-1.3299566374708767
12.0,7.0,-0.001388663903258828,0.6383720709320255
12.0,8.0,-0.0002887124386775567,1.6547508362804495
12.0,9.0,0.0006906120070925865,2.1469247722609857
13.0,0.0,-3.259128542464876e-05,1.5034205802733063
13.0,1.0,0.0006288246369727487,0.8939118666002022
13.0,2.0,0.0003203493216329505,0.025667815706214292
13.0,3.0,0.00011613234086239173,-0.5453932742945483
13.0,4.0,-0.0004954266025482736,-0.7336480652250577
13.0,5.0,-0.0010386767817449447,-0.4168495266998238
13.0,6.0,-0.0006769689533779099,-0.9819085006257519
13.0,7.0,8.726585868724805e-05,-0.14771324699927507
13.0,8.0,0.0005677039402917293,-0.3049500409497277
13.0,9.0,0.0005233875246486801,0.7074623922144831
14.0,0.0,-0.0014571663041343368,0.7651261200504412
14.0,1.0,-0.00036355527421183927,-0.012559413151238041
14.0,2.0,0.0003916168794545227,0.1825426255692671
14.0,3.0,0.0010472227750535053,0.05997862643096363
14.0,4.0,0.0008438344144337345,-0.09604571343845636
14.0,5.0,0.0008506821921688498,-0.39504939858137855
14.0,6.0,0.0009292457268931134,-1.571979075517131
14.0,7.0,0.0004519542662445142,0.1768832999512855
14.0,8.0,-0.0006390963468715146,0.2688075360156335
14.0,9.0,-0.002054738329030559,0.6222953926706221
15.0,0.0,-0.0010907321733788155,1.072755042691288
15.0,1.0,-0.0012921002058267394,0.5020916215947362
15.0,2.0,-0.0018003519769435902,0.38418235106150744
15.0,3.0,-0.0015254501362597314,0.2713210766546632
15.0,4.0,-0.0004338435411271477,0.43600266911850466
15.0,5.0,0.0006141971855986389,-0.9845617864731988
15.0,6.0,0.0006839839387927426,-0.2133575659766842
15.0,7.0,0.0007338950236334754,-0.7418564797651692
15.0,8.0,0.0008870385185792309,-0.016594180039621986
15.0,9.0,0.003223363366931936,-0.7099827488660329
16.0,0.0,-0.004138562362227243,-5.8584014083396365
16.0,1.0,0.003186007206387837,-2.4506966334072877
16.0,2.0,0.0046284678846603465,-0.5880951914828554
16.0,3.0,0.003498031186155734,0.9280574386678118
16.0,4.0,0.0023183805345331964,1.478385409879476
16.0,5.0,0.0016300558544454717,1.5546973268269917
16.0,6.0,0.0011307960937857499,1.722401163415522
16.0,7.0,-1.7483246151717528e-05,2.199247159503846
16.0,8.0,-0.0027871455896932734,1.4797354603043162
16.0,9.0,-0.009448547561896127,-0.4653307253681733
17.0,0.0,0.008365105811758993,-5.87019037321911
17.0,1.0,0.006282683493779033,-2.363383649833408
17.0,2.0,0.0013788083427720566,1.5166539343355936
17.0,3.0,0.0017198807455463408,-0.08605698138793394
17.0,4.0,0.0003631303441290683,0.5763225550268696
17.0,5.0,-0.001604321331046772,1.2794045441524278
17.0,6.0,-0.0018243984755426412,1.263609675510297
17.0,7.0,-0.0032145064670801864,1.3494465801446638
17.0,8.0,-0.004200629726428049,1.1153482469897427
